,name
Firmicutes,Firmicutes
Actinobacteria,Actinobacteria
Cyanobacteria,Cyanobacteria
Deinococcus-Thermus,Deinococcus-Thermus
Chloroflexi,Chloroflexi
Tenericutes,Tenericutes
Armatimonadetes,Armatimonadetes
Bacteroidetes,Bacteroidetes
Chlorobi,Chlorobi
Ignavibacteriae,Ignavibacteriae
Balneolaeota,Balneolaeota
Gemmatimonadetes,Gemmatimonadetes
Fibrobacteres,Fibrobacteres
Candidatus Cloacimonetes,Candidatus Cloacimonetes
Proteobacteria,Proteobacteria
Verrucomicrobia,Verrucomicrobia
Planctomycetes,Planctomycetes
Lentisphaerae,Lentisphaerae
Chlamydiae,Chlamydiae
Kiritimatiellaeota,Kiritimatiellaeota
Spirochaetes,Spirochaetes
Fusobacteria,Fusobacteria
Acidobacteria,Acidobacteria
Synergistetes,Synergistetes
Thermotogae,Thermotogae
Deferribacteres,Deferribacteres
Aquificae,Aquificae
Nitrospirae,Nitrospirae
Elusimicrobia,Elusimicrobia
Candidatus Saccharibacteria,Candidatus Saccharibacteria
Candidatus Bipolaricaulota,Candidatus Bipolaricaulota
Candidatus Gracilibacteria,Candidatus Gracilibacteria
Calditrichaeota,Calditrichaeota
Chrysiogenetes,Chrysiogenetes
Thermodesulfobacteria,Thermodesulfobacteria
Dictyoglomi,Dictyoglomi
Caldiserica,Caldiserica
Coprothermobacterota,Coprothermobacterota
